"region","domain","n_providers"
"CHN","consumer_behavior",17
"MENA","prices_retail",16
"NOAM","identity_biometric",14
"SEA","identity_biometric",13
"SAS","identity_biometric",12
"SSA","prices_retail",11
"WEU","identity_biometric",11
"NOAM","credit_risk",10
"LAC","identity_biometric",10
"WEU","credit_risk",9
"MENA","identity_biometric",9
"MENA","education",9
"OCE","credit_risk",8
"CHN","prices_retail",8
"EEU","identity_biometric",8
"EAS","identity_biometric",8
"NOAM","financial_transactions",7
"LAC","credit_risk",7
"CHN","identity_biometric",7
"OCE","identity_biometric",7
"SSA","credit_risk",6
"SEA","mobility_location",6
"EAS","mobility_location",6
"OCE","education",6
"SAS","credit_risk",5
"RUS","prices_retail",5
"CHN","credit_risk",4
"EEU","credit_risk",3
"MENA","credit_risk",3
"SEA","credit_risk",3
"EAS","education",3
"EAS","credit_risk",2
"RUS","mobility_location",2
"CHN","mobility_location",2
"EEU","device_telemetry",2
"MENA","device_telemetry",2
"SAS","device_telemetry",2
"SEA","device_telemetry",2
"EAS","device_telemetry",2
"CHN","device_telemetry",2
"WEU","financial_transactions",1
"RUS","financial_transactions",1
"MENA","financial_transactions",1
"SSA","financial_transactions",1
"SAS","financial_transactions",1
"SEA","financial_transactions",1
"EAS","financial_transactions",1
"CHN","financial_transactions",1
"RUS","credit_risk",1
"RUS","identity_biometric",1
"SSA","device_telemetry",1
"RUS","education",1
"NOAM","migration_displacement",1
"OCE","migration_displacement",1
