
Twenty worst served large countries per 10 million population
=====================================================================================================================
              country_name           region_code income_group population_band n_providers n_primary providers_per_10m
---------------------------------------------------------------------------------------------------------------------
128 Democratic Republic of the Congo     SSA         LIC            XL            71         28            3.5       
131             Ethiopia                 SSA         LIC            XL            78         34            3.9       
167           Philippines                SEA         LMIC           XL            91         32            4.6       
89               Egypt                  MENA         LMIC           XL            94         42            4.7       
78               Russia                  RUS         UMIC           XL            95         16            4.8       
180              China                   CHN         UMIC           XL            99         13            5.0       
166             Vietnam                  SEA         LMIC           XL            112        33            5.6       
156            Bangladesh                SAS         LMIC           XL            136        45            6.8       
121             Nigeria                  SSA         LMIC           XL            143        53            7.2       
173              Japan                   EAS         HIC            XL            148        35            7.4       
31               Brazil                  LAC         UMIC           XL            160        47            8.0       
162            Indonesia                 SEA         UMIC           XL            160        50            8.0       
155             Pakistan                 SAS         LMIC           XL            161        55            8.1       
3                Mexico                  LAC         UMIC           XL            163        50            8.2       
154              India                   SAS         LMIC           XL            193        74            9.7       
104               Iran                  MENA         LMIC            L            74         18           10.6       
1            United States              NOAM         HIC            XL            268        97           13.4       
105             Turkiye                 MENA         UMIC            L            110        32           15.7       
165             Thailand                 SEA         UMIC            L            117        26           16.7       
13               Haiti                   LAC         LIC             M            44         11           17.6       
---------------------------------------------------------------------------------------------------------------------
